date,day,menu,temp_c,holiday,attendees
2010-01-01,Friday,Paneer Butter Masala,35,No,560
2010-01-02,Saturday,White Sauce Pasta,36,No,504
2010-01-03,Sunday,Veg Fried Rice,31,No,531
2010-01-04,Monday,Pav Bhaji,33,No,510
2010-01-05,Tuesday,Veg Fried Rice,28,No,556
2010-01-06,Wednesday,Dal Makhani,36,No,520
2010-01-07,Thursday,Aloo Paratha,31,No,533
2010-01-08,Friday,Pav Bhaji,29,No,518
2010-01-09,Saturday,Maggi,29,No,410
2010-01-10,Sunday,Chole Bhature,35,No,563
2010-01-11,Monday,Dal Khichdi,33,No,466
2010-01-12,Tuesday,Pav Bhaji,28,No,572
2010-01-13,Wednesday,Dal Makhani,30,No,598
2010-01-14,Thursday,Chole Bhature,33,Yes,402
2010-01-15,Friday,Idli Sambar,36,Yes,278
2010-01-16,Saturday,Chole Bhature,33,Yes,456
2010-01-17,Sunday,Khichdi,35,No,413
2010-01-18,Monday,Biryani,30,No,614
2010-01-19,Tuesday,Veg Fried Rice,31,No,521
2010-01-20,Wednesday,Khichdi,32,No,405
2010-01-21,Thursday,Aloo Paratha,37,Yes,315
2010-01-22,Friday,Maggi,35,No,361
2010-01-23,Saturday,Chole Bhature,37,Yes,344
2010-01-24,Sunday,Idli Sambar,29,No,487
2010-01-25,Monday,Dal Makhani,33,No,495
2010-01-26,Tuesday,Pasta,36,No,447
2010-01-27,Wednesday,Dal Makhani,29,No,508
2010-01-28,Thursday,Pav Bhaji,35,No,471
2010-01-29,Friday,Biryani,32,No,633
2010-01-30,Saturday,Pav Bhaji,38,Yes,390
2010-01-31,Sunday,Veg Fried Rice,31,Yes,354
2010-02-01,Monday,Biryani,35,No,572
2010-02-02,Tuesday,Aloo Paratha,37,No,486
2010-02-03,Wednesday,Chole Bhature,30,No,592
2010-02-04,Thursday,Khichdi,35,Yes,314
2010-02-05,Friday,Pav Bhaji,35,No,537
2010-02-06,Saturday,Chole Bhature,37,No,533
2010-02-07,Sunday,Rajma Chawal,36,No,499
2010-02-08,Monday,Veg Fried Rice,36,No,489
2010-02-09,Tuesday,Poori Bhaji,35,No,460
2010-02-10,Wednesday,Idli Sambar,38,No,436
